target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:way:73743541,Chicago Loop Post Office,United States Postal Service,211 South Clark Street,Chicago,IL,60604,41.8790644,-87.6302725,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:9747053266,DHL,DHL,161 North Clark Street,Chicago,IL,60601,41.8846192,-87.6304345,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:10241088958,FedEx Office,FedEx Office,222 Merchandise Mart Plaza,Chicago,IL,60654,41.8885046,-87.6343661,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:10925578861,FedEx Office,FedEx Office,,Chicago,IL,,41.8814611,-87.631038,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:12305205113,FedEx Office,FedEx Office,608 West Lake Street,Chicago,IL,60661,41.8858625,-87.6432611,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:12563653535,FedEx Office,FedEx Office,540 North Michigan Avenue,Chicago,IL,60611,41.8921054,-87.6247441,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:13015665790,FedEx Office,FedEx Office,,Chicago,IL,,41.8799616,-87.625901,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:way:205124173,Fort Dearborn Post Office,United States Postal Service,540 North Dearborn Street,Chicago,IL,60654,41.8920419,-87.6304642,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:9876797519,John Hancock Post Office,United States Postal Service,875 North Michigan Avenue GP-07,Chicago,IL,60611,41.8988247,-87.6226356,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:12305205112,The UPS Store,The UPS Store,623 West Lake Street,Chicago,IL,60661,41.8855102,-87.6435932,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:12749008917,The UPS Store,The UPS Store,308 South Jefferson Street,Chicago,IL,60661,41.8776066,-87.6427118,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
